All Results

Player Name,Roll,Number Of Sides
London Young,32,100
Asher Christensen,84,100
Carmen Gibson,26,100
Tyler Travis,9,100
Mazikee Castaneda,29,100
Collin Payne,20,100
London Zimmerman,53,100
Sergio Franco,57,100
Charleigh Grimes,60,100
Harlan McCall,46,100
Kai Alvarado,91,100
Andres Mejia,19,100
Saylor Tucker,73,100
Ivan Strickland,79,100
Nia Collins,68,100
Miles Barron,56,100
Anya Stuart,94,100
Dion Bernard,44,100
Barbara Valdez,11,100
Kyler Durham,59,100
Tiffany Glover,55,100
Mack Jarvis,31,100
Elisabeth Berry,49,100
Adonis Nunez,72,100
Mya Simon,99,100
Zayne O’Neill,38,100
Kenna Hess,39,100
Lawrence Byrd,95,100
Giselle McDowell,76,100
Lachlan Bowers,11,100
Elisa Andrews,39,100
Lukas Pugh,90,100
Landry Jarvis,74,100
Marlon Kramer,6,100
Hanna Leal,10,100
Cedric Rios,65,100
Brooke Benton,72,100
Jamal Barajas,73,100
Keilani Wang,100,100
Cohen Reyna,44,100
Luella Patterson,88,100
Amir Stuart,78,100
Stormi McLean,34,100
Crosby Farrell,3,100
Kassidy Ingram,71,100
Tripp Whitney,36,100
Madalynn Buchanan,31,100
Enrique Rollins,68,100
Araceli Mueller,69,100
Albert Zhang,18,100
Sarai Washington,17,100
Juan Sharp,89,100
Camryn Camacho,95,100
Tatum McGee,16,100
Kayleigh Atkinson,55,100
Duke Carter,88,100
Lucy Becker,15,100
Lawson Truong,62,100
Judith Tate,100,100
Dalton Stein,2,100
Leilany Norton,22,100
Callen Person,63,100
Dylan Marquez,22,100
Malakai Callahan,54,100
Kimber Gray,43,100
Nicholas McGee,24,100
Kayleigh Gallegos,93,100
Jonas Estes,88,100
Brittany Calderon,32,100
Oakley Barton,46,100
Danna Bond,8,100
Roger Mendez,79,100
Londyn Mathews,18,100
Jamir Beck,50,100
Gia Mays,69,100
Jadiel Harding,73,100
Aniya Norman,24,100
Aziel Gregory,6,100
Alaya Horn,64,100
Wilson Roy,73,100
Savanna Holmes,16,100
King Valenzuela,32,100
Henley Dunlap,88,100
Aries Rollins,46,100
Araceli Haley,80,100
Leif Garza,90,100
River Hamilton,78,100
Jason Rowe,83,100
Matilda English,29,100
Junior Moody,70,100
Elaine Melton,97,100
Lennon Webb,57,100
Ariella Marquez,73,100
Malakai Olsen,11,100
Oaklyn Douglas,91,100
Derek Travis,79,100
Mazikee Holt,57,100
Niko Dejesus,91,100
Julissa Ingram,63,100
Tripp Payne,19,100
London Moran,94,100
Tate Hernandez,90,100
Camila Graham,85,100
Giovanni Thomas,50,100
Elizabeth Delarosa,10,100
Osiris Vasquez,56,100
Rose Bullock,78,100
Ben Roach,64,100
Lyanna Sanchez,82,100
Joseph Bryant,16,100
Parker Murillo,34,100
Lance McCullough,62,100
Hana Glenn,72,100
Zaid Warren,100,100
Sloane Whitney,62,100
Jeffery Chapman,85,100
Zuri Espinoza,77,100
Dallas Mays,93,100
Denisse Mueller,64,100
Albert Rowe,13,100
Matilda Bravo,100,100
Genesis Spence,16,100
Aislinn Barker,37,100
Kade Vincent,13,100
Allyson Kim,36,100
Roman Acevedo,30,100
Ashlynn Ramos,59,100
Angel Blackburn,84,100
Frida Walton,73,100
Dominick Roach,26,100
Lyanna Reid,60,100
Josue Medrano,62,100
Halle Enriquez,58,100
Elisha Clay,62,100
Aliana Davidson,21,100
Dante Campos,61,100
Sutton Greer,57,100
Koda Jackson,53,100
Avery Garza,69,100
Judah Nunez,57,100
Mya Wilkins,49,100
Yusuf Carrillo,12,100
Kaylani Tucker,14,100
Ivan Rangel,29,100
Gloria Lawson,1,100
Lane Bautista,69,100
Antonella Rivas,49,100
Damon Reese,77,100
Rosemary Rosas,20,100
Remi Torres,83,100
Violet Newman,46,100
Anderson Mayer,12,100
Ainhoa Reilly,71,100
Alvaro McCarthy,79,100
Kira McDaniel,88,100
Major Owen,78,100
Mikayla Travis,55,100
Willie Herring,77,100
Denver Villanueva,5,100
Huxley Dyer,64,100
Estrella Truong,93,100
Ayan David,40,100
Haylee Woodward,53,100
Jeremias Washington,96,100
Valerie Macias,62,100
Moshe Greene,21,100
Selena Pruitt,21,100
Gatlin Espinosa,82,100
Braylee Hickman,53,100
Jakobe Calhoun,23,100
Thalia Chan,89,100
Frank Charles,29,100
Jenna Lynch,52,100
Zane Avery,6,100
Meghan Portillo,53,100
Wallace Nielsen,54,100
Vienna Wolfe,56,100
Donovan Callahan,90,100
Kimber Bailey,16,100
Axel Ortega,91,100
Lilah Coleman,15,100
Micah Lambert,43,100
Nina Weeks,93,100
Anders Briggs,76,100
Alia Page,43,100
Pablo Case,4,100
Cleo Ruiz,46,100
Austin Harris,9,100
Penelope Mack,57,100
Esteban David,77,100
Haylee Wong,12,100
Walter Browning,61,100
Princess Rogers,58,100
Colton Phillips,8,100
Naomi Rosas,39,100
Remi Ramos,96,100
Alice Bowman,85,100
Francisco Schultz,33,100
Briella Norton,10,100
Callen Blankenship,80,100
Rosalee Jensen,5,100
Cash Townsend,31,100
Azalea Yang,77,100
Malcolm Strickland,76,100
Nia McKee,17,100
Bjorn Schaefer,86,100
Mavis Maddox,38,100
Lyric Winters,45,100
Kataleya Rojas,28,100
Colin Dillon,10,100
Laurel Espinoza,43,100
Dallas Beard,93,100
Ezra Harmon,43,100
Roberto Baxter,6,100
Lara Newman,51,100
Anderson McKinney,27,100
Gwendolyn Holland,56,100
Brady Huerta,10,100
Dulce Davenport,17,100
Dariel Herring,83,100
Denver Goodman,24,100
Philip Marsh,64,100
Adelina Schroeder,70,100
Izaiah Stephenson,18,100
Khaleesi Rowland,56,100
Eliezer Hogan,29,100
Kathryn Velazquez,64,100
Drew Hayes,88,100
Iris Dominguez,10,100
Kaden Chen,94,100
Valeria Mitchell,65,100
Jaxon Houston,58,100
Lylah Valencia,94,100
Dax Mullins,15,100
Maliyah Palmer,93,100
Theo Blankenship,27,100
Rosalee Stevenson,14,100
Callan McGee,35,100
Kayleigh Lugo,90,100
Santos Bender,11,100
Lilyana Stein,43,100
Creed Rosas,36,100
Joelle Harris,27,100
Samuel Deleon,31,100
Gabrielle Carroll,1,100
Oscar Williamson,69,100
Catherine Krueger,59,100
Jones McGuire,38,100
April Mason,74,100
Brandon Mueller,79,100
Imani Cain,34,100
Benson Cabrera,20,100
Daleyza Le,36,100
Damien Arnold,39,100
Finley Shah,62,100
Zain Hanna,77,100
Cynthia Weeks,2,100
Anders Richardson,99,100
Allison Hogan,28,100
Sonny Frye,8,100
Raya Coffey,80,100
Kody Felix,59,100
Paisleigh Walton,98,100
Dominick Brennan,33,100
Elodie Ball,70,100
Shane Drake,79,100
Jayleen Hampton,71,100
Hank Estrada,92,100
Sawyer Wallace,24,100
Chase Shannon,23,100
Harlee Myers,66,100
Adam Hart,6,100
Gemma Foster,89,100
Kayden Becker,48,100
Laura Roth,35,100
Roy Lowe,55,100
Amari McFarland,38,100
Dane Villarreal,43,100
Jazlyn Marshall,27,100
Kaiden Andersen,17,100
Zoie Clayton,100,100
Boston Curtis,86,100
Alexis Walls,37,100
Larry Andersen,19,100
Zoie Donaldson,5,100
Canaan Booker,50,100
Nataly Shaffer,23,100
Dexter Gaines,72,100
Aya Booker,12,100
Dominik Romero,37,100
Eliza Jordan,51,100
Sawyer Murray,67,100
Faith Paul,37,100
Noel Jimenez,58,100
Adeline Brewer,27,100
Cruz Clark,100,100
Chloe Giles,55,100
Kole Cabrera,21,100
Daleyza Velez,78,100
Kareem Owen,65,100
Mikayla Garrison,42,100
Noe Dougherty,16,100
Alisson Goodman,88,100
Philip Mata,32,100
Lillie Person,43,100
Moses Hartman,59,100
Kennedi Charles,33,100
Conrad Clarke,60,100
Kaitlyn Weber,58,100
Crew Pham,45,100
Raelyn Maynard,32,100
Landry Poole,21,100
Bonnie McFarland,12,100
Dane McFarland,5,100
Annika Poole,65,100
Quincy Murray,31,100
Faith Bridges,6,100
Mohammed Lyons,46,100
Kenzie Cantu,55,100
Anakin Delacruz,75,100
Celine Preston,37,100
Vincenzo Morrow,23,100
Reyna Costa,65,100
Kenji Watts,81,100
Melissa Larson,95,100
Rafael Burch,13,100
Freyja Compton,57,100
Abner Mitchell,21,100
Willow Hunt,51,100
Jesus Howard,71,100
Sophie Macdonald,49,100
Hugh Bender,84,100
Lilyana Foster,45,100
Kayden Giles,49,100
Bailee Schaefer,13,100
Ishaan Webster,14,100
Kensley Esparza,2,100
Carl Clarke,69,100
Kaitlyn Bartlett,53,100
Kace Decker,34,100
Aleena Rowland,27,100
Eliezer Gibbs,82,100
Carter Powers,6,100
Sean Estrada,40,100
Sawyer Pierce,47,100
Nicolas Watson,44,100
Hailey Duffy,77,100
Kyng Zamora,87,100
Sierra Baker,64,100
Ezra Quintana,32,100
Kenia Barrett,83,100
Angelo Zhang,43,100
Sarai Espinoza,84,100
Dallas Todd,14,100
Zariah Donaldson,90,100
Canaan Perkins,58,100
Sage Cline,97,100
Cullen Humphrey,62,100
Journi Hensley,3,100
Layne Hendrix,23,100
Zhuri Holmes,53,100
King Guerra,81,100
Edith Roach,93,100
Caspian Elliott,18,100
Noelle Medina,61,100
George Simpson,71,100
Anastasia Gonzalez,79,100
Ethan Enriquez,34,100
Nellie Andersen,89,100
Alistair Chung,41,100
Rivka Boyd,27,100
Dean McClure,61,100
Estella Bates,94,100
Ellis Shannon,72,100
Harlee Hughes,71,100
Everett Bond,94,100
Alena Moore,62,100
Levi Potter,32,100
Rory Washington,11,100
Juan O’brien,9,100
Joanna Duncan,40,100
Avery Wall,46,100
Jayda Tran,66,100
Braxton Steele,91,100
Rylie Ayala,11,100
Tanner Case,71,100
Cleo Copeland,7,100
Axton Andersen,31,100
Zoie Townsend,13,100
Alexis Santiago,8,100
Nyla McDowell,15,100
Lachlan Cameron,67,100
Julie Zamora,34,100
Quentin Fisher,56,100
Arya Williamson,20,100
Emerson Hull,3,100
Andi Ware,7,100
Tadeo McLean,62,100
Sky Vu,26,100
Kamdyn Espinoza,55,100
Lucille Wagner,31,100
Enzo Thompson,30,100
Madison Berry,76,100
Adonis Meza,11,100
Rosa Stanton,4,100
Zyair Terry,66,100
Wren Shields,82,100
Devon Keller,31,100
Logan Melton,39,100
Lennon Lawrence,78,100
Lauren Fischer,49,100
Leonidas Chang,74,100
Ophelia Garrett,50,100
Kairo Pacheco,31,100
Paris Burch,70,100
Gerald Bennett,24,100
Josephine Zhang,65,100
Isaias Spears,82,100
Isabela Cobb,67,100
Raphael Doyle,27,100
Annalise Sweeney,47,100
Nixon Murphy,1,100
Bella Robinson,69,100
Matthew Olsen,61,100
Oaklyn Owen,64,100
Cannon Reid,89,100
Charlee Ponce,7,100
Langston Hernandez,13,100
Camila Turner,24,100
Joshua Kent,39,100
Jazmine Leblanc,14,100
Braden Walsh,44,100
Leia Lambert,86,100
Mario Ford,61,100
Alexandra Ingram,48,100
Tripp Charles,21,100
Jenna Arroyo,57,100
Alberto Myers,13,100
Lydia Hogan,44,100
Sonny Blair,48,100
Frances Dougherty,2,100
Brett Arias,49,100
Aleah Macias,34,100
Moshe Hayes,23,100
Iris Stephens,14,100
Messiah Pollard,77,100
Marisol Gregory,10,100
Travis Rosales,5,100
Kinley Johnston,99,100
Felix Richards,70,100
Trinity Wood,90,100
Carson Black,62,100
Molly Robles,86,100
Otto Sherman,69,100
Addilyn Roberson,27,100
Shepherd Young,36,100
Zoey Shah,13,100
Zain Valdez,39,100
Diana Burgess,38,100
Kolton Franco,42,100
Charleigh Clark,90,100
John Little,42,100
Harley Horton,42,100
Garrett Elliott,69,100
Noelle Vance,98,100
Casen Pitts,14,100
Nala Hendricks,60,100
Dash Saunders,8,100
Meadow Bradley,31,100
Richard Huang,42,100
Francesca Cooper,85,100
Jonathan Torres,24,100
Violet Kent,33,100
Mekhi Carroll,1,100
Zara Greer,17,100
Koda Yang,11,100
Angelina Travis,47,100
Willie Robles,53,100
Felicity Carpenter,37,100
Jeremy Crane,61,100
Della Alvarado,19,100
Andres Skinner,50,100
Mara Hardy,41,100
Jayceon Mack,73,100
Nadia Suarez,59,100
Soren Whitehead,83,100
Sylvie Hood,33,100
Brixton Pugh,90,100
Landry Moore,6,100
Levi Porter,100,100
Ryleigh Palacios,49,100
Thaddeus Herman,55,100
Paulina Livingston,99,100
Ambrose Guerrero,28,100
Margot Noble,48,100
Idris Rivers,54,100
Kiana Patterson,31,100
Amir Rose,20,100
Magnolia Lucero,41,100
Felipe Vo,85,100
Artemis Jefferson,72,100
Raylan Marks,46,100
Monica Turner,23,100
Joshua Truong,50,100
Judith Colon,16,100
Bruce Petersen,32,100
Fernanda Schaefer,79,100
Ishaan Serrano,37,100
Allie Vargas,32,100
Ryker Hammond,39,100
Holly West,20,100
Diego Johnson,71,100
Emma McKee,86,100
Bjorn Dudley,85,100
Hadleigh Huffman,48,100
Chris Long,13,100
Jade Hudson,35,100
Peter Bauer,90,100
Haley Garrett,1,100
Kairo Trejo,49,100
Rosalyn Tate,24,100
Dalton Valentine,98,100
August Duncan,86,100
Avery Trejo,33,100
Rosalyn Parra,14,100
Davion Sierra,46,100
Marceline Sherman,87,100
Adan Lee,43,100
Scarlett Camacho,58,100
Tatum Burton,9,100
Miriam Hopkins,10,100
Ali Terry,70,100
Wren May,79,100
Finley Correa,29,100
Valery Blankenship,98,100
Ernesto Houston,82,100
Lylah Jacobs,35,100
Bryan Huber,27,100
Raquel Carlson,34,100
Paul Hurst,7,100
Adalee Walters,54,100
Colson Brewer,29,100
Thea Turner,28,100
Joshua Lambert,5,100
Nina Aguilar,82,100
Milo Pitts,66,100
Nala McBride,35,100
Denver Haynes,7,100
Lexi McIntyre,94,100
Eliseo Prince,12,100
Greta Moyer,81,100
Ahmir Boyle,2,100
Aliya Jensen,23,100
Cash Woodard,58,100
Aubrie Hardy,45,100
Jayceon Potter,21,100
Rory Odom,39,100
Kylian Buck,60,100
Livia Hart,90,100
Joel Carey,49,100
Alora Pierce,22,100
Nicolas Davila,67,100
Rayne Bridges,16,100
Mohammed Douglas,84,100
Aniyah Clayton,40,100
Boston Curry,51,100
Alison Richmond,41,100
Mordechai Barajas,20,100
Keilani Bradley,6,100
Richard Dudley,33,100
Hadleigh Nicholson,20,100
Rodrigo Blankenship,84,100
Rosalee Moyer,49,100
Ahmir Parker,1,100
Aubrey Harvey,86,100
Cayden Graves,51,100
Elle May,9,100
Finley Johnston,97,100
Laila Warren,41,100
Abel Krueger,6,100
Kamari Smith,78,100
Liam Ayala,12,100
Blair Donaldson,24,100
Canaan Petersen,59,100
Fernanda Portillo,62,100
Wallace White,100,100
Layla Burton,44,100
Zander Garza,81,100
River Salazar,24,100
Brody Williamson,97,100
Catherine Randall,62,100
Trenton Maddox,96,100
Zainab Cannon,60,100
Archie Crawford,42,100
Aubree Wood,98,100
Carson Mathews,25,100
Sloan Stokes,89,100
Santana Daugherty,25,100
Magdalena Cameron,39,100
Rayan Lee,59,100
Scarlett Novak,20,100
Bishop Perkins,12,100
Sage Kramer,53,100
Kylan Esparza,49,100
Ramona Stephens,59,100
Messiah Kemp,87,100
Anika Reed,97,100
Easton Schroeder,7,100
Cameron Cook,15,100
Ezekiel Conrad,56,100
Bexley Harper,27,100
Hayes Hickman,83,100
Scarlette Medrano,56,100
Arian Hanson,68,100
Mariana Carpenter,47,100
Jeremy McCall,86,100
Kai Yates,58,100
Braylon Trejo,9,100
Rosalyn Hart,22,100
Joel Ramos,57,100
Alice Gill,84,100
Matthias Patel,93,100
Madeline Middleton,31,100
Misael Gentry,80,100
Amelie Rhodes,31,100
Titus Harrington,74,100
Legacy Duke,26,100
Kalel Duke,50,100
Melani Conway,97,100
Orlando Heath,24,100
Amani Warner,36,100
Jaxton Wheeler,8,100
Sydney Lugo,98,100
Santos Hahn,1,100
Fallon Neal,66,100
Kane Stewart,85,100
Maya Case,79,100
Bentlee Beil,67,100
Itzel Person,59,100
Moses Estrada,57,100
Sawyer Hunt,71,100
Jesus Marin,68,100
Celia Jensen,36,100
Cash Magana,39,100
Amaris Le,62,100
Damien Franklin,86,100
Angela Hampton,11,100
Hank Morris,55,100
Genesis Franco,73,100
Gage Lucas,58,100
Phoenix Bradley,28,100
Richard Haley,80,100
Addilynn Huff,8,100
Finnley Joseph,47,100
Gracelynn Underwood,96,100
Reece Harris,16,100
Penelope Mitchell,11,100
Jaxon Flynn,31,100
Dorothy Callahan,83,100
Quinton Hendricks,42,100
Dani Craig,40,100
Odin Stout,32,100
Chana Miranda,76,100
Rory Cano,15,100
Egypt Knox,47,100
Valentin Munoz,98,100
Kehlani Owen,35,100
Cannon Armstrong,6,100
Presley Compton,53,100
Abner Waller,63,100
Whitley Berry,44,100
Adonis Richmond,100,100
Whitney Dickerson,36,100
Flynn Salgado,73,100
Avalynn Marshall,34,100
Kaiden Huang,88,100
Francesca Garner,8,100
Sage Hobbs,7,100
Lacey Porter,65,100
Rhett Moran,48,100
Celeste Gallegos,38,100
Jonas Browning,98,100
Princess Owens,71,100
Adriel Green,79,100
Zoe Andrade,61,100
Abdiel Henry,54,100
Summer Grant,57,100
Leon May,87,100
Adriana Kramer,1,100
Kylan Pacheco,99,100
Paris Peralta,44,100
Dangelo Armstrong,19,100
Presley Jarvis,20,100
Marlon Lynn,4,100
Samira Horn,23,100
Wilson Delacruz,71,100
Celine Camacho,68,100
Tatum Ray,99,100
Ruth Odom,53,100
Kylian Neal,93,100
Talia Dawson,1,100
Iker Wood,74,100
Natalia Bowen,16,100
Trevor Moran,67,100
Celeste Maxwell,37,100
Eden Mahoney,46,100
Promise Burns,98,100
August Enriquez,56,100
Nellie Snyder,54,100
Thiago Blair,40,100
Frances Salazar,64,100
Brody Bridges,40,100
Elora McClure,84,100
Reese Tate,66,100
Skye Decker,38,100
Taylor Conley,18,100
Salem Moore,6,100
Levi Barron,34,100
Anya McConnell,14,100
London Day,61,100
Hayden Li,21,100
Jorge Chan,65,100
Hattie Harrington,23,100
Omari Bruce,99,100
Marilyn Clark,74,100
John Cherry,80,100
Nyomi Alvarez,40,100
Xavier Marquez,15,100
Milani Eaton,3,100
Leighton Washington,3,100
Valerie Hardy,57,100
Jayceon Knox,28,100
Kallie Eaton,62,100
Leighton Farley,74,100
Wrenley Schultz,36,100
Cody Whitehead,64,100
Sylvie Hobbs,79,100
Brendan Bradford,46,100
Rhea Hinton,92,100
Frankie Scott,48,100
Aurora Ware,42,100
Tadeo Travis,83,100
Mazikee Quintana,99,100
Kelvin Carson,67,100
Nalani Welch,59,100
Hendrix Cameron,19,100
Julie Burgess,4,100
Kolton Schwartz,53,100
Lilliana Larsen,21,100
Brycen Bridges,94,100
Elora Miles,27,100
Jared Khan,55,100
Mabel Harper,64,100
Hayes Floyd,66,100
Yaretzi Cardenas,6,100
Johnathan Boone,16,100
Mariam Mayer,10,100
Yahir Li,90,100
Paige Francis,39,100
Harvey Morales,95,100
Skylar Hartman,80,100
Baker Cole,99,100
Margaret Farley,3,100
Graysen Hodges,1,100
Eve McMahon,52,100
Jakob Weiss,39,100
Lennox Perry,70,100
Waylon Williams,75,100
Ava Bailey,100,100
Axel Meza,27,100
Rosa Bond,76,100
Roger Woodward,81,100
Drew Rodriguez,88,100
Henry Diaz,24,100
Elena Randolph,45,100
Eugene Little,51,100
Harley Miller,27,100
Benjamin Gilmore,48,100
Chanel Parker,22,100
Caleb Combs,69,100
Irene Norris,11,100
Cairo Barron,82,100
Anya Hodge,36,100
Reign Hendricks,89,100
Dani Spence,96,100
Cillian Gibbs,73,100
Carter Quintana,17,100
Kelvin Pacheco,11,100
Paris Pineda,88,100
Gerardo Wiggins,2,100
Capri Tyler,33,100
Emmitt Clay,27,100
Aliana Navarro,35,100
Reid Galvan,38,100
Dallas Mack,44,100
Esteban Bonilla,58,100
Romina Gillespie,40,100
Forest Santana,85,100
Myra Guevara,23,100
Tommy Hendricks,26,100
Dani Dougherty,92,100
Brett Blackburn,99,100
Frida Orozco,67,100
Keanu Xiong,36,100
Amayah Delacruz,52,100
Memphis Lowe,85,100
Amari Bates,67,100
Ellis Spence,97,100
Aislinn Tapia,87,100
Samir Orozco,65,100
Renata Sims,38,100
Brian Petersen,32,100
Fernanda French,14,100
Corey Miles,65,100
Alessandra Mora,85,100
Arturo Terrell,92,100
Paityn Henson,59,100
Bellamy Lindsey,75,100
Colette Kent,90,100
Mekhi Wells,97,100
Cecilia Weiss,44,100
Koa Greer,79,100
Reina Barajas,57,100
Brennan Knox,49,100
Kallie Barrera,72,100
Makai Beck,71,100
Gia Preston,28,100
Vincenzo James,33,100
Quinn Contreras,63,100
Emilio Correa,94,100
Valery Hampton,89,100
Hank Higgins,60,100
Leighton Nichols,36,100
Atlas Mason,59,100
Sienna Strickland,43,100
Keegan Trejo,76,100
Rosalyn Buchanan,81,100
Enrique Vaughan,19,100
Nancy Melendez,26,100
Nikolas Anthony,56,100
Macy Page,81,100
Pablo Townsend,81,100
Azalea Sellers,28,100
Madden Love,89,100
Avianna Bernard,72,100
Jair Wagner,1,100
Maeve Hurley,57,100
Van Gonzalez,12,100
Abigail Rosario,78,100
Jedidiah Figueroa,77,100
Lilith Castro,73,100
Jasper Humphrey,96,100
Journi Bailey,28,100
Axel Chavez,14,100
Nevaeh Ahmed,5,100
Harry Thomas,8,100
Elizabeth Fisher,6,100
Gael Bailey,93,100
Kennedy Anderson,2,100
Jacob Bernard,74,100
Barbara Cantrell,42,100
Harris Alvarez,93,100
Leilani Harrington,56,100
Omari Guzman,40,100
Ashley Decker,49,100
Taylor Stephenson,1,100
Khaleesi Ellis,33,100
Cole Tang,79,100
Belle Nelson,37,100
Dylan Sweeney,39,100

Winners

Player Name,Roll,Number Of Sides
Eli Pitts,100,100
Keilani Wang,100,100
Judith Tate,100,100
Zaid Warren,100,100
Matilda Bravo,100,100
Zoie Clayton,100,100
Cruz Clark,100,100
Levi Porter,100,100
Wallace White,100,100
Adonis Richmond,100,100
Ava Bailey,100,100
